#"Midyear Population  by Age and Sex for China"
#Age "Male Population" "Female Population"
0 40516152 34695655
5 41347074 34980960
10 48800919 42314154
15 57922621 52041688
20 60617499 56640842
25 51546942 48822129
30 49349671 47232809
35 62269539 59387454
40 61990087 59063706
45 46195684 44384976
50 43126682 40763133
55 38552648 37330255
60 26404372 25368901
65 19680421 19130240
70 15747177 16122226
75 10754214 11999674
80 5371220 6941742
85 1883174 3022617
90 358956 756105
95 39188 108857
100 1882 7338
